page_title,gt_lat,gt_lon,gt_type,cl_to
Bayonne,43.4936,-1.475,city,Article_de_qualité
Seth,25.9,32.7266,,Article_de_qualité
Statue_de_la_Liberté,40.6892,-74.0444,,Article_de_qualité
Aqueduc_de_Fontenay,47.3353,0.935179,landmark,Article_de_qualité
Église_Saint-Nazaire_de_Barbadell,42.6383,2.5833,landmark,Article_de_qualité
Hôpital_Saint-Jacques_(Nantes),47.1978,-1.53667,landmark,Article_de_qualité
Panthéon_(Rome),41.8986,12.4768,landmark,Article_de_qualité
Genillé,47.1864,1.09611,city,Article_de_qualité
Los_Angeles,34.05,-118.25,city,Article_de_qualité
France,48.867,2.3265,,Article_de_qualité
Bataille_de_Majadahonda,40.4667,-3.86667,landmark,Article_de_qualité
Thermes_gallo-romains_de_Tours,47.392,0.688662,,Article_de_qualité
Viaduc_de_Millau,44.0872,3.02083,landmark,Article_de_qualité
Batz-sur-Mer,47.2781,-2.47889,city,Article_de_qualité
Épave_de_Mahdia,35.5319,11.1244,,Article_de_qualité
Frontière_entre_l'Espagne_et_la_France,43.2958,-1.72972,,Article_de_qualité
Aqueduc_de_Luynes,47.3976,0.5685,landmark,Article_de_qualité
Grand_Prix_automobile_de_Grande-Bretagne_1995,52.0786,-1.01694,event,Article_de_qualité
Amsterdam,52.3833,4.9,city,Bon_article
Château_de_Fontainebleau,48.4019,2.69806,landmark,Bon_article
Nouvelle-Zélande,-41.283,174.45,,Bon_article
Rome_antique,41.89,12.48,country,Bon_article
Yamoussoukro,6.81,-5.2955,city,Bon_article
Memphis_(Égypte),29.8494,31.2544,city,Bon_article
Saint-Lô,49.1144,-1.09167,city,Bon_article
Mont_Blanc,45.8326,6.86472,mountain,Bon_article
Lille,50.6372,3.06333,city,Bon_article
La_Rochelle,46.16,-1.14996,city,Bon_article
Cherbourg-Octeville,49.6389,-1.625,city,Bon_article
Kourou,5.15972,-52.6503,city,Bon_article
Pékin,39.9035,116.388,city,Bon_article
Manifestations_de_la_place_Tian'anmen,39.9033,116.392,event,Bon_article
Lugdunum,45.7597,4.84222,landmark,Bon_article
Anzin,50.3699,3.50095,city,Bon_article
Épernay,49.0403,3.96,city,Bon_article
Aire-sur-la-Lys,50.6384,2.39588,city,Bon_article
Cambrai,50.1767,3.23556,city,Bon_article
Bataille_de_Qadech,34.5555,36.498,landmark,Bon_article
Tournoi_de_Wimbledon,51.4337,-0.214059,landmark,Bon_article
"Ordre_souverain_militaire_hospitalier_de_Saint-Jean_de_Jérusalem,_de_Rhodes_et_de_Malte",38.725,-8.14333,,Bon_article
Saint-Germain-en-Laye,48.8989,2.0938,city,Bon_article
Vitry-sur-Seine,48.7875,2.39278,city,Bon_article
Pixar_Animation_Studios,37.8327,-122.283,landmark,Bon_article
Jeux_olympiques_d'hiver_de_1992,45.6644,6.37248,city,Bon_article
Ath,50.6301,3.78067,city,Bon_article
Sparte,37.0742,22.4314,city,Bon_article
Friends,40.7325,-74.0056,,Bon_article
LGV_Est_européenne,48.8756,2.64483,landmark,Bon_article
Agde,43.3108,3.47583,city,Bon_article
Stardust_(sonde_spatiale),40.365,-113.521,,Bon_article
Coupe_du_monde_de_football_de_1930,-34.8946,-56.1528,landmark,Bon_article
Oran,35.7028,-0.649256,city,Bon_article
Ligne_1_du_métro_de_Paris,48.8496,2.45635,landmark,Bon_article
Oktoberfest,48.1325,11.5492,landmark,Bon_article
Abidjan,5.3364,-4.0266,city,Bon_article
Drancy,48.9233,2.445,city,Bon_article
Ligne_4_du_métro_de_Paris,48.8761,2.35793,landmark,Bon_article
Épône,48.9564,1.81611,city,Bon_article
Ligne_14_du_métro_de_Paris,48.8756,2.32619,landmark,Bon_article
Funiculaire_de_Montmartre,48.8851,2.3425,,Bon_article
Charente_(fleuve),45.7569,0.76889,landmark,Bon_article
Albi,43.9289,2.14639,city,Bon_article
